"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x93922c262c53602abc1903c5a7a7bd8271bd4d2626d7a7b1a01ecc135a983b2e","1619858117",2021-05-01 08:35:17,Sell,31991239521.6843, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x53471fe682522dfd22a7bbe60116ed23e170c53f2f48757009dd56e29e3b1610","1619858221",2021-05-01 08:37:01,Sell,9576470352498.74, BUNNY, 0.107790302807491, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x2491c5f0d129f76a6785bc37ced62f674cc7d2cee45bcda4c9b19fdf2e490497","1619859690",2021-05-01 09:01:30,Sell,10353496822.3654, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x6334f0986d2533b76f203cd4160a0129a9a2d70cf578467608b084e0f4c366f7","1619859742",2021-05-01 09:02:22,Sell,24505136417.0258, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x41fb0c6d6ba1a80a978caffc7438d6b2607eff4c9001546cb664924a6e3e3915","1619860941",2021-05-01 09:22:21,Sell,1547649174256.66, BUNNY, 0.01741636969299, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xecdfa0e8427cb7273b6159c8dc78de2bcc51e431c6b5765c09be78b3819174c8","1619861903",2021-05-01 09:38:23,Sell,1153825754.43433, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x76608119467dbc60952923bccbb7e0689c56c682ee73218aa26e03261d7124b2","1619862783",2021-05-01 09:53:03,Sell,4572762587.56997, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x29bf621c240a35d0f95ec5c573e25d062e712ad16e86c7b86939b1b2b29bdb64","1619862858",2021-05-01 09:54:18,Sell,91413884399.6778, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x7df82449be0272b7c5db841d80e3402e77a296e42811151126ea5399ca167fe3","1619863020",2021-05-01 09:57:00,Sell,48873149381.9299, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x1395c5cc5cbe361743deaa3989cbed670126c995619443d7b5cbcbdb33bdef0f","1619863642",2021-05-01 10:07:22,Sell,19268581075.7089, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xa926fbc3920fc1dc4924426bc18c7aaebafe50e823e8b7b8f7d2bc9b09d8e224","1619865057",2021-05-01 10:30:57,Sell,91279941490.3082, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x71dbe5549c120dc817d9c2a8aaf40260d45477eac75ad5852e5bd7b84f1b628a","1619866152",2021-05-01 10:49:12,Sell,60020665436.3413, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x040102dc75bcc72574175c51e0acb97f9a60201b045fba301f3dea2fca892d60","1619866444",2021-05-01 10:54:04,Sell,12973132343.4823, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x8ab355877ee11dc760c3da795c5075ffcb1347f32f604a4599f8e08308afefa9","1619866678",2021-05-01 10:57:58,Sell,434042315967.928, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x11f0476065f3007917fcd5639efee6a66671b9cc5056b09a19720a81b477d14a","1619866732",2021-05-01 10:58:52,Sell,6156855433202.43, BUNNY, 0.0697368192441418, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x2677e54183289daaabcaad5608822ebbd55c147a4328ee9e08b266cea7948351","1619868654",2021-05-01 11:30:54,Sell,386610299449.059, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x1dc80b14132b0e72b318aa5c6f47d7608d6303d501d778f8583b74908e3fc39c","1619868897",2021-05-01 11:34:57,Sell,86721847584.0409, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xee09721a999d3b7467083832292ed9ae5f43764ef2866b620835823fdbd3cf0c","1619869802",2021-05-01 11:50:02,Sell,90748784102.3267, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xf7ee879cb339bfa18ab204d1d0976d8c439dac10cf2740ac0ca9dc8569882f90","1619870076",2021-05-01 11:54:36,Sell,21989447523.7404, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x8aaca95b366fdd2af3536dded03d28f90dcf2fb6796cb5b6781fecb4f318633b","1619873717",2021-05-01 12:55:17,Sell,67308091664.3718, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x93ee529ede6fd14a07085d7ba54aba2b3e7286fa4ac267232864a4be202c5250","1619873834",2021-05-01 12:57:14,Sell,165804190834.661, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xf377fbd7df53e215ec0b70b3e1f314cb4a83fce95ee6f72e8e5ff03ab5c87012","1619874508",2021-05-01 13:08:28,Sell,1810435858386.43, BUNNY, 0.0205725553844298, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xcb9f1c30c9caadce923ff28b59ef8c3c2c207da006e52441ded7654748995133","1619875209",2021-05-01 13:20:09,Sell,46171263701.3051, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xb20b836bf89c13a1f325cc9dc9be15f82cbacc0f7a1ca36b9e6c8c716427da7e","1619875388",2021-05-01 13:23:08,Sell,10678260753458.6, BUNNY, 0.121320232270822, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xcb8bdc602f44becc8a6781d6a251e3852f8ea56d857bcdb49a79821807902e85","1619875415",2021-05-01 13:23:35,Sell,5712420467.60476, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x0b03e07accc26eb27326d72f4351c4f8ae28d01113f3c2354388ff7e3ec91b05","1619876154",2021-05-01 13:35:54,Sell,1993203201.32835, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x3747784c1a32cbf22de99b18ab6dfeb55eaa8d2a17b081092bf2170182c0d24f","1619876277",2021-05-01 13:37:57,Sell,1331324831671.92, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xacf6f9749f35d019a094e518c135ea65ab5feb7badf1598303191d3ae33846fd","1619877350",2021-05-01 13:55:50,Sell,351787309875.448, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xbe481cc0ff2c606986446b0a64544a749dfe571fce635cf77197fd33f845fbaf","1619878023",2021-05-01 14:07:03,Sell,10705591276.3401, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x377a6ecabeca5a16eaf1e025cb78a37b6327e6d016b8b70ecfb6b5e4f676ff34","1619878185",2021-05-01 14:09:45,Sell,303974595527629, BUNNY, 3.45574996817154, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x9ffc3b4cc36a71f0c6df8d7539815093326f49f3ca8082e123dfc4b6357df439","1619878691",2021-05-01 14:18:11,Sell,3657907572704.78, BUNNY, 0.0409915196985661, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xf98035016b88a3399ef4e8be35eabd549990208a452de1a68597f9ce45e48036","1619878931",2021-05-01 14:22:11,Sell,4811415498975.1, BUNNY, 0.0538968991667507, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xa99ae2e29b41cc641a0947a29ede9716589a73a2be299a054d5478a7fb25de2f","1619879375",2021-05-01 14:29:35,Sell,132369025617.878, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xa99ae2e29b41cc641a0947a29ede9716589a73a2be299a054d5478a7fb25de2f","1619879375",2021-05-01 14:29:35,Sell,132369025617.878, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xe667427ae15785f8dbbf55cb2d805a00da7bd6aba1fd950c1a449b87bfc82b1e","1619879615",2021-05-01 14:33:35,Sell,13590568239235.5, BUNNY, 0.152290176193198, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xe667427ae15785f8dbbf55cb2d805a00da7bd6aba1fd950c1a449b87bfc82b1e","1619879615",2021-05-01 14:33:35,Sell,13590568239235.5, BUNNY, 0.152290176193198, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x7a3e6891ffb5da22224bce5e0db2e850050819b316de51e22a83f681a757d8d1","1619880779",2021-05-01 14:52:59,Sell,9190861817.74206, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x270f355ffddd56fd485728171b8010e74e58395943afdefa06f120b72555c501","1619880779",2021-05-01 14:52:59,Sell,9190087718.04989, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x08a85d9bbc96c01a2db2ca122b2cb0c05fc862124fdc090eba91f7d49d7012d9","1619881243",2021-05-01 15:00:43,Sell,34096359593267.5, BUNNY, 0.381289896258519, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x36b4c36ebb3acf7d69a7d2ff5f352a7c1d2dccfa755a1e189637acb4f914f8d8","1619881539",2021-05-01 15:05:39,Sell,36871781541.0898, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xeb5b304d88e54dfdaecf6d867cf115d2e9a843ec6badd20762da02f9a0b0c11e","1619882139",2021-05-01 15:15:39,Sell,119746127705.006, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x7fb14823688fe62c8092d29ce7d751fe47b1ccc012cf2c8e9b1c45b66fb7cb3d","1619883533",2021-05-01 15:38:53,Sell,183967380324.6, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
